,day,wdsp,total_num_of_crimes
337,3,12.9,0.57319224
1736,5,9.9,0.710758377
627,3,9.6,0.647863248
264,3,16.7,0.639004149
1124,1,10.7,0.776014109
1948,1,4.5,0.636904762
562,1,16,0.623015873
2038,2,5.9,0.634920635
1943,1,11.8,0.653333333
97,5,10.8,0.636684303
1345,1,4.4,0.703319502
1422,6,9.1,0.76039604
654,4,9.4,0.653465347
1021,3,5.5,0.761410788
1122,5,11.1,0.752475248
1015,2,4.1,0.705394191
1857,5,14.1,0.642735043
1518,1,9.3,0.683168317
1659,7,13,0.492307692
1548,6,5.1,0.742574257
742,3,11.9,0.650793651
2123,3,8,0.681904762
1723,1,7.4,0.699170124
1236,3,5.5,0.782178218
205,2,3.7,0.520282187
1540,3,9.3,0.700396825
1357,3,5.3,0.748962656
1027,4,10.6,0.709543568
2028,2,8.4,0.687128713
268,2,11,0.651428571
1382,2,10.1,0.64021164
1975,1,7.3,0.680497925
766,7,4,0.68452381
1677,3,5.5,0.586324786
1183,2,7.1,0.744813278
842,3,6.9,0.643738977
1949,2,13.3,0.651428571
513,5,12.1,0.601709402
1569,6,9.6,0.622222222
1769,7,12.5,0.628571429
317,4,12.7,0.675247525
1641,4,16.8,0.711111111
1939,2,4.2,0.738589212
538,4,15.2,0.682539683
1339,7,6.8,0.794605809
1915,5,6,0.717842324
1093,1,6.9,0.919087137
511,2,6.4,0.684647303
690,3,12.1,0.695049505
506,3,7.7,0.608465608
604,1,9.7,0.626984127
1571,2,5.7,0.651428571
705,2,5.4,0.564102564
1552,5,9.6,0.732142857
782,7,7.7,0.652557319
1184,4,3.9,0.657848325
1647,5,19.1,0.632478632
140,6,8.5,0.565811966
1991,2,13.9,0.691428571
398,6,10.4,0.566137566
1868,6,11.3,0.58377425
1208,1,6.5,0.668430335
1369,5,7.4,0.711618257
671,6,11.1,0.617142857
1918,3,2.9,0.720238095
484,2,11.9,0.718253968
568,2,8.5,0.654761905
1084,4,7.2,0.746031746
1755,2,11.5,0.618803419
451,6,10.3,0.659751037
321,2,6.1,0.597222222
361,5,4.9,0.705394191
1960,3,8.5,0.615079365
1263,4,9.5,0.656410256
1073,3,10.6,0.695238095
1559,7,7.1,0.683809524
1995,7,6.9,0.487179487
857,2,7.7,0.674285714
2088,5,6.4,0.689108911
1037,4,10.1,0.727619048
326,2,12.6,0.557264957
1803,3,11.9,0.555555556
660,5,4.6,0.702970297
1394,4,6.3,0.650793651
426,1,7.7,0.601980198
650,6,8.4,0.590828924
645,6,7.4,0.576068376
1794,5,7.3,0.75049505
1286,7,4.7,0.731922399
1527,6,10.5,0.541880342
217,4,8.7,0.553791887
1160,7,8.6,0.684303351
343,4,14.5,0.546737213
677,7,4,0.647619048
1883,5,8.4,0.624761905
1775,1,8.6,0.666666667
66,5,4.4,0.730290456
424,6,4.3,0.632936508
1846,5,4.6,0.75
1465,7,5.2,0.817427386
1978,6,6.3,0.638888889
325,1,11.1,0.534391534
939,6,9.6,0.564102564
145,6,16.7,0.53968254
244,5,12.1,0.664761905
1388,3,6.7,0.717813051
1644,1,7.1,0.831683168
877,7,6.2,0.767634855
22,3,14.2,0.544761905
1011,4,7.8,0.661538462
1395,5,7.4,0.71965812
5,1,9.2,0.83960396
965,6,12.3,0.68
1101,5,6.3,0.656410256
806,4,13.1,0.597883598
1029,7,7.8,0.632478632
816,3,5.6,0.702970297
1330,3,4.2,0.658730159
986,6,6.3,0.691358025
177,6,8.9,0.619047619
175,4,15.3,0.60670194
1221,4,4.1,0.676923077
1238,6,7.3,0.680776014
1595,6,5.3,0.733333333
1271,1,3.5,0.761904762
560,5,13.4,0.652557319
1327,5,5.2,0.757261411
2188,6,13.4,0.609126984
1994,6,10.9,0.574955908
796,5,9.8,0.692460317
1446,3,7.6,0.669306931
577,6,4.2,0.726141079
1082,1,11.6,0.682539683
1267,2,6.3,0.778008299
1237,4,4.7,0.786307054
1896,1,6.5,0.611881188
1599,4,6,0.591452991
763,2,10.9,0.692946058
1589,5,6,0.712380952
1537,5,10.7,0.757261411
1126,4,6.1,0.738095238
540,6,11.5,0.63960396
1714,4,6.6,0.650793651
1760,2,10.2,0.659611993
938,5,4.7,0.756613757
502,5,8.5,0.670634921
8,5,5.1,0.538461538
1280,6,4.9,0.777777778
1420,4,6.6,0.765873016
2001,1,10.1,0.569230769
1742,6,9.3,0.670194004
2046,5,7.3,0.62970297
1052,3,4.1,0.671957672
1930,5,13.7,0.718253968
1453,5,7,0.680497925
551,7,6.2,0.580952381
261,6,11.8,0.589285714
1323,7,4.3,0.553846154
964,5,8.5,0.626984127
1510,5,4.3,0.71031746
597,5,19.2,0.613675214
1437,5,4.9,0.611965812
1756,4,10.2,0.686507937
1283,3,5.4,0.695238095
1972,5,6.9,0.640873016
2006,1,11.5,0.710758377
1065,6,9.2,0.593162393
2134,4,8.5,0.609126984
75,3,8.2,0.621031746
1036,3,6.5,0.755952381
1836,5,8.9,0.734653465
1826,6,13.5,0.723104056
292,6,8.2,0.64
1837,6,10.3,0.670124481
1017,5,10.7,0.625641026
139,5,14,0.525573192
152,1,7.3,0.572649573
1843,7,8,0.742738589
960,6,4.6,0.700990099
730,1,12.7,0.706349206
1432,6,7.8,0.797619048
1429,1,9.4,0.72406639
1344,7,5.4,0.811881188
1955,3,8,0.561904762
1788,4,4.4,0.633663366
1722,7,5.3,0.588118812
909,1,9.2,0.782905983
371,5,10,0.582857143
388,7,8.9,0.573412698
1858,7,3.5,0.66468254
902,6,7,0.638447972
1114,2,6.3,0.892857143
1634,2,11.5,0.661375661
1421,5,5.5,0.622857143
1442,5,8.3,0.731922399
1110,3,6.9,0.740594059
141,7,7.5,0.623015873
798,7,7.1,0.625742574
1900,7,8.9,0.571428571
260,5,8.4,0.483760684
1921,6,5,0.636929461
1341,3,4.4,0.635897436
1411,5,10.1,0.713692946
1119,1,8.5,0.594871795
192,5,4.3,0.773858921
1090,5,10.3,0.85515873
464,3,9.7,0.682539683
721,2,7.8,0.755186722
1215,3,4.1,0.652991453
532,3,11.2,0.71031746
1869,7,3.6,0.54017094
347,2,11.1,0.645544554
692,6,10.6,0.62962963
1875,1,3.4,0.564102564
1229,1,10.2,0.700952381
2116,1,8.1,0.571428571
757,1,7,0.821576763
1197,7,7,0.608547009
1234,1,8.3,0.78968254
977,1,11.8,0.64952381
1071,7,5,0.545299145
976,7,10.9,0.740079365
483,7,10,0.538461538
2109,5,11,0.51965812
933,5,11,0.635897436
289,2,10.2,0.527336861
1533,7,6.8,0.615384615
1515,4,4.5,0.548717949
769,3,10.8,0.755186722
1636,5,12.5,0.694444444
405,1,4.7,0.6
1075,5,8.6,0.798755187
1001,5,9.4,0.712380952
1992,3,5.4,0.663366337
1201,5,10.4,0.786307054
2044,3,12.9,0.626984127
1906,1,8,0.623015873
762,1,5.9,0.772277228
316,3,8.2,0.615238095
1291,6,4,0.842323651
147,1,7.2,0.686507937
2126,7,7.8,0.523809524
509,7,7.4,0.64952381
546,7,8.8,0.673267327
2111,1,8.5,0.607619048
1916,7,6.4,0.552028219
844,6,8.4,0.746031746
651,7,8.7,0.562393162
1602,1,6.7,0.742574257
1790,7,4.7,0.626102293
858,3,3.2,0.720792079
