,day,wdsp,prcp,total_num_of_crimes
66,5,4.4,0,0.730290456
727,3,9.1,1.29,0.807053942
1301,6,7.2,0.01,0.84
1711,6,14.2,0.45,0.711618257
748,4,12.6,0,0.615079365
256,7,14.3,0,0.571428571
235,7,6,0.07,0.522045855
880,5,8.7,0,0.714285714
806,4,13.1,0.24,0.597883598
2025,5,8.9,0,0.558974359
2024,4,6.7,0,0.592592593
1487,2,11,0,0.622857143
407,4,8.5,0,0.580952381
1038,5,12.3,2.56,0.695049505
1854,1,10.3,0.36,0.691089109
1003,7,5.7,0.2,0.670124481
1008,7,9.3,0,0.742574257
1692,2,8,0.12,0.710891089
1247,4,8.1,0.07,0.681904762
627,3,9.6,0,0.647863248
1014,1,11.4,0,0.857425743
1603,2,8.2,0,0.721991701
226,2,6.8,0.32,0.617142857
1784,6,8.8,0,0.634920635
1802,2,13.7,0.05,0.675485009
1270,7,7.1,0,0.71031746
1344,7,5.4,0,0.811881188
1190,5,6,0,0.71957672
1285,5,5.6,0,0.98340249
258,2,11.1,0.44,0.697095436
477,6,11.4,0,0.521367521
1610,5,3.9,0,0.723104056
1532,6,7.7,0.1,0.566137566
552,1,5.9,0,0.625742574
