,day,sndp,temp,total_num_of_crimes
191,4,0,28.8,0.736633663
1616,6,0,69.6,0.742504409
337,3,0,8.4,0.57319224
519,6,0,29.2,0.533333333
349,5,0,13.7,0.553791887
779,3,0,55.4,0.615238095
1206,5,0,75.7,0.734653465
477,6,0,43,0.521367521
2042,7,0,34.9,0.537918871
109,7,1.2,21.2,0.546737213
642,2,0,35,0.671287129
2162,6,0,45.8,0.57319224
899,2,0,66,0.739047619
1181,7,0,73.1,0.68952381
1422,6,0,72.9,0.76039604
1549,7,0,71.6,0.780082988
1412,7,0,78.3,0.634920635
1305,4,0,76.2,0.683760684
131,1,0,48.9,0.665346535
2141,6,0,32.8,0.634285714
1564,7,0,72,0.670634921
1304,3,0,72.9,0.670194004
1522,7,0,66.8,0.660714286
1212,6,0,71.5,0.693069307
645,6,0,62.3,0.576068376
1030,2,0,77.1,0.746031746
2175,2,0,35.5,0.514529915
1805,6,0,38.7,0.56952381
2052,6,0,24.5,0.611881188
1489,4,0,64.8,0.649377593
115,1,1.2,34,0.559082892
632,3,0,39.6,0.67372134
1511,6,0,64.5,0.60952381
1833,1,0,60.3,0.687179487
1061,1,0,64.7,0.68952381
1553,6,0,77.8,0.697142857
1537,5,0,75.1,0.757261411
308,6,3.1,23.4,0.512820513
491,4,0,37.8,0.596190476
1926,6,0,34.8,0.586138614
1139,7,0,74.7,0.740952381
2030,5,0,36.6,0.686067019
2063,7,0,26.9,0.556190476
851,1,0,59.1,0.718095238
1179,4,0,69.4,0.531623932
1820,5,0,43,0.716049383
2100,7,0,36.9,0.627722772
1228,7,0,80.4,0.742063492
1939,2,0,38.3,0.738589212
1271,1,0,76.8,0.761904762
1792,3,0,48.3,0.617063492
377,6,0,33.7,0.548571429
1007,6,0,80.5,0.674285714
1157,3,0,77.3,0.60952381
315,1,0,36.7,0.563492063
1164,5,0,82.1,0.76039604
1563,5,0,74.2,0.67008547
1267,2,0,73.3,0.778008299
612,4,0,59.5,0.702970297
915,2,0,58,0.608547009
949,5,0,67.3,0.831950207
852,2,0,60,0.774257426
438,3,0,31.7,0.598019802
581,5,0,43.8,0.619047619
94,1,0,34.3,0.573333333
1484,5,0,81.1,0.687830688
1662,4,0,66.2,0.592079208
995,4,0,77.2,0.752380952
1968,6,0,45.4,0.59009901
2112,2,0,30.5,0.615841584
1405,4,0,74.3,0.699170124
1906,1,0,49,0.623015873
1261,1,0,77.5,0.798755187
1227,5,0,79.2,0.699145299
1989,6,0,39,0.531623932
1535,3,0,67.6,0.626666667
810,2,0,64,0.708910891
381,4,3.9,15.2,0.500854701
947,3,0,67,0.716190476
2035,4,0,36.8,0.670124481
1883,5,0,24.9,0.624761905
652,2,0,55.9,0.66468254
1468,5,0,69.8,0.753968254
888,1,0,84.1,0.823762376
1290,5,0,77.1,0.851485149
1644,1,0,62.5,0.831683168
87,5,0,41.1,0.700396825
1625,4,0,62.9,0.666666667
1555,1,0,72.2,0.817427386
1818,2,0,53.5,0.691089109
635,7,0,67.8,0.626666667
382,6,1.2,34.6,0.579365079
649,4,0,58.6,0.661825726
1888,5,0,51.4,0.676587302
1621,5,0,64.7,0.630705394
701,4,0,54.6,0.647619048
1611,6,0,69.2,0.618803419
2111,1,0,43.7,0.607619048
1565,1,0,69.2,0.699047619
1235,2,0,73.1,0.725714286
1959,1,2,31,0.52991453
1323,7,0,74.6,0.553846154
81,4,1.2,33.9,0.662698413
1710,5,0,40.2,0.592079208
573,1,0,55,0.560683761
1165,6,0,82.4,0.834024896
715,1,0,46.8,0.701244813
747,2,0,56.1,0.558974359
1364,6,0,72.6,0.643738977
1595,6,0,84.4,0.733333333
428,4,3.1,22.7,0.611992945
276,5,0,23.7,0.709543568
1941,5,0,38.2,0.576068376
1799,5,0,45.3,0.752380952
946,2,0,64,0.660714286
768,2,0,69.8,0.728712871
1403,2,0,75.2,0.740952381
30,6,0,39.8,0.7406639
2037,7,0,38.7,0.538461538
1854,1,0,48.3,0.691089109
1101,5,0,68,0.656410256
1218,7,0,71.6,0.778217822
745,6,0,50.9,0.657676349
1086,6,0,87.3,0.801980198
803,7,0,63.3,0.668571429
527,3,0,42.3,0.626666667
214,7,0,34,0.577142857
1561,2,0,70.3,0.755186722
1856,4,0,48.5,0.592592593
1171,7,0,80.2,0.732365145
609,7,0,58.8,0.611965812
821,3,0,78.9,0.72952381
1917,1,0,53.1,0.613675214
1683,4,0,64.5,0.502564103
920,2,0,76.5,0.770723104
480,3,0,34.3,0.60990099
1596,7,0,61.2,0.683168317
1344,7,0,79.9,0.811881188
1427,6,0,68.6,0.647619048
1589,5,0,85.2,0.712380952
1973,6,0,48.8,0.660952381
1466,2,0,77,0.677248677
599,1,0,68,0.601904762
785,4,0,54.7,0.626666667
2167,5,0,38.3,0.690871369
706,4,0,47.7,0.712301587
1443,6,0,70.8,0.611965812
1169,5,0,72.2,0.731428571
1651,3,0,68.3,0.709543568
189,1,0,37.1,0.777777778
1649,1,0,70.5,0.6
855,6,0,65.7,0.647863248
580,4,0,41.3,0.748015873
772,1,0,57.2,0.746031746
552,1,0,33.1,0.625742574
1875,1,0,46.1,0.564102564
516,2,0,49.9,0.64950495
1797,2,0,54.7,0.552136752
1635,3,0,59.2,0.572649573
1499,4,0,60.6,0.666666667
59,3,1.2,38.6,0.671287129
