day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
7,2019,9,15,15/09/2019,71.6,63.1,1017.4,9.2,9.3,15,25.1,78.1,64,0,0,0,1,0,1,376
2,2014,9,16,16/09/2014,57.9,46.9,1021.4,9.9,5.3,11.1,999.9,69.1,46.9,0,0,0,1,0,0,350
3,2015,9,16,16/09/2015,73.5,51.3,1021.5,10,8.6,15.9,22.9,84,61,0,0,0,0,0,0,368
5,2016,9,16,16/09/2016,74.1,60.3,1015.6,10,9.6,17.1,25.1,84,66,0,0,0,0,0,0,369
6,2017,9,16,16/09/2017,77.8,61.5,1016.7,10,7.8,11.1,20,88,66.9,0,0,0,0,0,0,366
7,2018,9,16,16/09/2018,74.9,65.1,1018.2,9.7,6.8,13,999.9,86,66.9,0,0,0,0,0,0,349
1,2019,9,16,16/09/2019,72.2,67.5,1017.8,8.6,5.1,8.9,999.9,77,69.1,0.15,0,0,0,0,0,394
3,2014,9,17,17/09/2014,60.6,47.5,1017,10,4.2,8.9,999.9,72,46.9,0,0,0,0,0,0,405
4,2015,9,17,17/09/2015,75,58,1016.3,10,9.3,14,26,87.1,61,0,0,0,1,0,1,347
6,2016,9,17,17/09/2016,74.8,62.9,1011.8,9.8,8.8,15.9,20,82.9,68,0.06,0,0,1,0,0,381
7,2017,9,17,17/09/2017,78.4,62.9,1016,10,7.1,11.1,999.9,88,69.1,0,0,0,0,0,0,359
1,2018,9,17,17/09/2018,79.1,64.4,1012.9,10,3.9,8,999.9,91,69.1,0,0,0,0,0,0,341
2,2019,9,17,17/09/2019,70.3,64.7,1020,7.5,6.9,9.9,999.9,79,66,0,0,0,0,0,0,364
4,2014,9,18,18/09/2014,62.3,52.6,1018.2,9.6,4.3,9.9,999.9,72,48.9,0,0,0,0,0,0,417
5,2015,9,18,18/09/2015,74.2,66.4,1009.6,7.7,8.8,15.9,24.1,87.1,66,0.26,0,0,1,0,1,392
7,2016,9,18,18/09/2016,72,54.6,1013.7,10,3.6,6,999.9,82,63,0.03,0,0,0,0,0,338
1,2017,9,18,18/09/2017,69.2,56.5,1017.9,10,7.5,12,19,80.1,59,0,0,0,0,0,0,367
2,2018,9,18,18/09/2018,75.3,63.7,1012.8,9.9,5.3,15,21,82,69.1,0,0,0,0,0,0,357
3,2019,9,18,18/09/2019,72.6,61.4,1018.9,10,7.1,9.9,17.1,82.9,64,0,0,0,0,0,0,322
