,day,temp,total_num_of_crimes
1015,2,65.1,0.705394191
1443,6,70.8,0.611965812
1211,5,81.5,0.666666667
177,6,39.9,0.619047619
2090,1,47,0.596119929
503,6,43.7,0.613333333
882,7,83.4,0.84950495
485,3,32.3,0.63047619
960,6,66.5,0.700990099
857,2,60.9,0.674285714
1784,6,64.2,0.634920635
1236,3,79.1,0.782178218
1879,6,34.8,0.647302905
2001,1,42.1,0.569230769
663,2,47.6,0.547008547
1334,1,75.1,0.701940035
2107,2,26.6,0.653526971
1384,5,76.6,0.704365079
838,5,60.8,0.753968254
1475,7,68.4,0.657142857
1713,2,57.5,0.598290598
1859,1,41.7,0.63047619
1067,2,65.3,0.746666667
1565,1,69.2,0.699047619
1374,5,75.7,0.756435644
123,4,21.3,0.617063492
2105,7,38.8,0.622857143
280,4,35.1,0.552380952
1800,6,49.8,0.681188119
1586,1,57.5,0.686067019
1519,2,79.4,0.701244813
832,4,57.5,0.706349206
1728,1,44.5,0.627722772
759,4,71.2,0.61025641
1156,2,82.9,0.722222222
773,2,48.3,0.643809524
1645,2,79.7,0.875518672
158,2,29.3,0.586324786
480,3,34.3,0.60990099
1682,3,57.5,0.622574956
1280,6,73.6,0.777777778
1135,1,73.3,0.854771784
1132,5,78.6,0.726190476
654,4,41.1,0.653465347
1714,4,49.6,0.650793651
1837,6,39.5,0.670124481
1472,3,75.8,0.627865961
962,2,63.3,0.564373898
909,1,53.5,0.782905983
1260,7,72.4,0.695049505
1296,6,83.2,0.906930693
808,7,47.3,0.712301587
1809,4,42.2,0.533333333
368,1,8.5,0.509700176
1026,3,70.4,0.930693069
656,7,61.2,0.560846561
783,1,59.9,0.625641026
634,6,61,0.654761905
1395,5,71.7,0.71965812
1718,2,64.7,0.633156966
111,2,8.1,0.593253968
762,1,60.3,0.772277228
1327,5,73.8,0.757261411
1934,3,24.5,0.532627866
1634,2,56.9,0.661375661
949,5,67.3,0.831950207
366,5,37.4,0.702970297
1462,4,70.2,0.886904762
2056,5,23.8,0.593253968
1880,1,52.6,0.62962963
1057,2,74,0.807053942
1435,2,72.9,0.701244813
1338,6,78.4,0.796039604
1773,5,57.4,0.625641026
1838,1,53,0.668430335
