"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","wdsp","temp","total_num_of_crimes"
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,7,75.1,0.701940035273369
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,11,67.8,0.596119929453263
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6.9,69.9,0.7336860670194
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.7,68.9,0.654320987654321
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,5.2,66.9,0.703703703703704
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,7.1,72.6,0.64373897707231
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,6.9,71.7,0.6331569664903
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,5.4,72.5,0.647266313932981
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,10.1,78.3,0.64021164021164
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6.7,78.2,0.717813051146384
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,6.3,76.5,0.650793650793651
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,6.3,79.1,0.701940035273369
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,3.5,78.9,0.707231040564374
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,5.8,78.3,0.634920634920635
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.7,81.3,0.677248677248677
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5,77.1,0.705467372134039
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5.7,75.1,0.659611992945326
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.3,72.4,0.670194003527337
"225",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,8.3,77.7,0.731922398589065
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,11.5,79.5,0.707231040564374
