,day,sndp,total_num_of_crimes
2006,1,0,0.710758377
740,7,0,0.603174603
1351,2,0,0.761410788
534,5,0,0.647524752
1122,5,0,0.752475248
65,4,0,0.611881188
1357,3,0,0.748962656
1457,4,0,0.615238095
1731,5,0,0.523076923
878,2,0,0.631393298
2176,4,0,0.626984127
1737,6,0,0.536752137
936,2,0,0.706930693
1575,7,0,0.608547009
843,4,0,0.579487179
708,6,0,0.669306931
577,6,0,0.726141079
869,4,0,0.725714286
1658,6,0,0.589065256
1024,1,0,0.841269841
816,3,0,0.702970297
1448,6,0,0.707231041
1847,6,0,0.678095238
1231,3,0,0.736514523
1705,5,0,0.680497925
158,2,1.2,0.586324786
567,7,0,0.538461538
390,2,0,0.615841584
788,1,0,0.701940035
1270,7,0,0.71031746
1104,2,0,0.788118812
402,4,0,0.592079208
1082,1,0,0.682539683
2000,7,0,0.650793651
360,4,0,0.702970297
778,2,0,0.68452381
543,3,0,0.753846154
1220,3,0,0.71957672
1480,7,0,0.702380952
132,2,5.1,0.649377593
2164,2,0,0.593253968
100,2,0,0.619047619
969,4,0,0.694017094
1238,6,0,0.680776014
614,7,0,0.590828924
943,4,0,0.697095436
933,5,0,0.635897436
394,1,0,0.755952381
2029,3,0,0.709543568
1318,1,0,0.744047619
750,6,0,0.774257426
164,3,0,0.502564103
724,7,0,0.742063492
1862,5,0,0.668430335
1427,6,0,0.647619048
544,5,0,0.797619048
1302,7,0,0.794059406
1567,3,0,0.668049793
1513,1,0,0.742738589
1619,3,0,0.659047619
1753,6,0,0.65560166
608,6,0,0.747795414
852,2,0,0.774257426
2157,6,0,0.514529915
1680,7,0,0.62970297
1176,7,0,0.702970297
1723,1,0,0.699170124
766,7,0,0.68452381
596,4,0,0.682539683
2060,3,0,0.649029982
1371,1,0,0.629059829
1393,2,0,0.686721992
1996,2,0,0.668650794
400,2,0,0.706349206
1412,7,0,0.634920635
638,4,0,0.767195767
706,4,0,0.712301587
1052,3,0,0.671957672
39,4,1.2,0.676587302
968,3,0,0.604938272
357,7,5.9,0.593162393
398,6,0,0.566137566
645,6,0,0.576068376
673,1,0,0.661825726
1617,7,0,0.61025641
1599,4,0,0.591452991
1288,3,0,0.763888889
1236,3,0,0.782178218
732,3,0,0.738613861
1332,5,0,0.803960396
859,4,0,0.825726141
1560,1,0,0.675247525
1611,6,0,0.618803419
2016,7,0,0.623762376
456,6,0,0.691089109
871,6,0,0.794605809
178,1,0,0.655238095
1687,2,0,0.726141079
629,6,0,0.704761905
1142,4,0,0.698412698
1850,3,0,0.671957672
1508,2,0,0.633156966
22,3,0,0.544761905
2105,7,0,0.622857143
176,5,0,0.582905983
1849,1,0,0.624481328
2057,6,1.2,0.605714286
1682,3,0,0.622574956
792,6,0,0.588118812
1127,5,0,0.683809524
1896,1,0,0.611881188
1160,7,0,0.684303351
1818,2,0,0.691089109
2072,5,0,0.627865961
185,3,0,0.659405941
160,5,0,0.653333333
548,3,0,0.668430335
1861,3,0,0.626556017
900,3,0,0.792079208
2034,3,0,0.699009901
676,6,0,0.630952381
458,2,0,0.703703704
2009,5,0,0.792380952
730,1,0,0.706349206
92,5,3.1,0.581196581
1727,7,0,0.563809524
1008,7,0,0.742574257
2138,2,0,0.546737213
291,4,0,0.607142857
587,6,0,0.594285714
1131,3,0,0.569230769
662,1,0,0.611992945
729,6,0,0.521367521
2126,7,0,0.523809524
1759,7,0,0.690871369
1334,1,0,0.701940035
