,day,prcp,total_num_of_crimes
1645,2,0,0.875518672
840,7,0.01,0.697029703
2036,6,0,0.567901235
1978,6,0,0.638888889
2031,6,0,0.541880342
1932,7,0.15,0.596039604
1181,7,0,0.68952381
814,1,0,0.759920635
1078,3,0,0.78968254
413,5,0,0.588571429
2027,1,0,0.71047619
1681,1,0,0.692946058
946,2,0,0.660714286
1379,5,0.07,0.76952381
1779,6,0.04,0.577777778
942,3,0.01,0.752475248
316,3,0.05,0.615238095
599,1,0,0.601904762
734,6,0.04,0.622574956
317,4,0.11,0.675247525
1898,4,0,0.532627866
972,1,0.1,0.736633663
565,4,0.16,0.641078838
1008,7,0,0.742574257
360,4,0,0.702970297
849,5,0,0.673504274
18,4,0,0.753112033
964,5,0.06,0.626984127
158,2,0.04,0.586324786
301,4,0.27,0.590828924
1590,6,0,0.748514851
407,4,0,0.580952381
829,6,0.13,0.77593361
1799,5,0,0.752380952
2090,1,0,0.596119929
716,3,0.07,0.666666667
208,6,0,0.552380952
398,6,0,0.566137566
714,7,0,0.637623762
1916,7,0,0.552028219
801,4,0,0.641025641
1108,1,0,0.777777778
276,5,0,0.709543568
435,6,0,0.582905983
1026,3,0.03,0.930693069
1642,6,0.1,0.76984127
241,1,0,0.490299824
2008,4,0,0.716269841
755,6,0.07,0.634285714
794,2,0.17,0.64021164
1068,3,0.96,0.768316832
1098,1,0.01,0.835643564
266,6,0,0.47008547
1428,7,0.06,0.726732673
1707,1,0,0.582905983
567,7,0,0.538461538
201,3,0.74,0.654761905
265,5,0,0.587301587
1689,5,0,0.6
60,4,0,0.657676349
111,2,0,0.593253968
1384,5,1.2,0.704365079
1126,4,0.13,0.738095238
1781,2,0.51,0.651428571
2057,6,0.01,0.605714286
1673,5,0.13,0.624761905
1007,6,0.02,0.674285714
210,1,0,0.705394191
533,4,1.33,0.615238095
1626,5,0,0.714851485
439,4,0.32,0.676348548
1386,7,0,0.75049505
1074,4,0.04,0.807920792
798,7,0.43,0.625742574
1552,5,0,0.732142857
1880,1,0,0.62962963
696,4,0,0.695049505
